id;category;subcategories;creationdate;contactagreement;status;forwardtoreponseconso;tags;signalement_transmis;signalement_lu;signalement_reponse;dep_name;dep_code;reg_code;reg_name
0d0d02bf-3bdf-475d-bd55-9129023d3197;AchatMagasinInternet;un achat sur internet ou un site de vente en ligne,Le site internet en lui-même;2021-05-08;0;NonConsulte;0;Internet;1;0;0;Paris;75;11;Île-de-France
05ea3714-21f3-49be-8d13-9d97f3ab31cc;AchatMagasinInternet;un achat sur internet ou un site de vente en ligne,Une commande effectuée;2022-01-11;1;NonConsulte;0;Internet;1;0;0;Bouches-du-Rhône;13;93;Provence-Alpes-Côte d'Azur
23f34a33-5949-4077-b19d-63591f36b0d3;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2023-08-28;1;ConsulteIgnore;0;Internet,Litige contractuel;1;1;0;Loire-Atlantique;44;52;Pays de la Loire
dc6f4ec4-8ab2-4669-bea8-041f1339f132;VoitureVehiculeVelo;Autre;2024-01-02;0;NA;1;Internet,ReponseConso;0;0;0;Loire;42;84;Auvergne-Rhône-Alpes
642be0f4-d16e-4a77-95b1-5c11745a1b1b;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Publicité,Informations de vente mensongères;2023-08-25;1;Infonde;0;Litige contractuel;1;1;1;Côte-d'Or;21;27;Bourgogne-Franche-Comté
34ba5db1-1ac7-47a4-847b-591c68371201;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2024-01-03;1;NA;0;Internet,Litige contractuel;0;0;0;Loire-Atlantique;44;52;Pays de la Loire
bf2e3eb6-108a-41af-a720-833be9404f33;TravauxRenovations;Rénovation énergétique,Démarchage téléphonique;2024-01-02;0;NA;0;Démarchage téléphonique;0;0;0;Paris;75;11;Île-de-France
f17ced6e-df0f-4701-97c1-f0df64628ae7;AchatMagasin;Un magasin physique,Un problème qui concerne le magasin de façon générale,Prix,Il manque des prix / les prix sont illisibles;2023-08-25;1;PromesseAction;0;;1;1;1;Seine-Saint-Denis;93;11;Île-de-France
15fde483-3588-4b98-b110-75cd335cd8bb;AchatMagasin;Un magasin physique,Un problème avec un produit en particulier,C'est un aliment ou une boisson,Produit périmé,Un constat fréquent de produits périmés dans un établissement,Des produits vendus au rayon frais, notamment avec des œufs, de la viande ou du poisson,Oui;2023-08-28;0;ConsulteIgnore;0;Produit alimentaire;1;1;0;Pas-de-Calais;62;32;Hauts-de-France
3601fb1b-5135-417b-bc99-a3d0510e2cd3;DemarchesAdministratives;Autre,Une entreprise privée,Non, pas sur internet;2021-03-29;1;NonConsulte;0;Litige contractuel;1;0;0;Paris;75;11;Île-de-France
5e1ef7c5-5305-47af-a6bf-e3b01711fe0e;AchatMagasin;Un magasin physique,Un problème avec un produit en particulier,C'est un aliment ou une boisson,Produit périmé,Un constat fréquent de produits périmés dans un établissement,Des produits vendus au rayon frais, notamment avec des œufs, de la viande ou du poisson,Oui;2023-08-27;0;PromesseAction;0;Produit alimentaire;1;1;1;Var;83;93;Provence-Alpes-Côte d'Azur
c40d0ff3-e6a7-4cd7-b603-3b2d58c2e46e;AchatInternet;Le site internet en lui-même,Publicité trompeuse ou mensongère;2023-08-28;1;NonConsulte;0;Internet;1;0;0;Paris;75;11;Île-de-France
2cc09130-1728-490e-b0ba-0e591d494f99;AchatInternet;Une commande effectuée,Commande jamais livrée et le site est toujours ouvert;2024-01-02;1;NA;0;Internet,Litige contractuel;0;0;0;;;;
2cb8156e-b14e-4d4b-9784-795797dee469;Internet;Un influenceur ou une influenceuse,L'influenceur n'indique pas le caractère commercial de sa publication;2023-08-20;0;NA;0;Influenceur;0;0;0;Paris;75;11;Île-de-France
88b56bb1-1f0a-4b4c-9550-c468856ed838;BanqueAssuranceMutuelle;Banque,Frais bancaires;2023-08-31;1;Infonde;0;Internet,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
0b551fd5-befa-4e48-bcc9-5e3e647b53e8;TelephonieFaiMedias;Téléphonie / internet,Mon forfait : prix, contrat et facture,Autre problème de facturation ou de contrat,Autre;2023-08-20;1;ConsulteIgnore;0;Internet,Litige contractuel;1;1;0;Paris;75;11;Île-de-France
b243e874-104b-474b-b1c2-9bbf325f73a8;BanqueAssuranceMutuelle;Banque,Service client;2023-08-20;1;PromesseAction;0;Internet,Litige contractuel;1;1;1;Paris;75;11;Île-de-France
d7d58c41-a63b-4503-b8e3-4be4dea80aaf;AchatMagasin;Un problème avec un produit en particulier,C'est un aliment ou une boisson,Problème de quantité,La quantité annoncée est non conforme,Un produit emballé par le fabricant comme une boîte de conserve, un paquet, une bouteille;2023-12-20;1;PromesseAction;0;Produit alimentaire;1;1;1;Gard;30;76;Occitanie
